Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
GO Molecular Function	GO:0004937	alpha1-adrenergic receptor activity	13	0.00523925	1	1	190.4291	0.005251299	1	0.0006564124	0.125	10	0.002658395	1	0.9804161	375.8542	0.002660606	1	3	0.0625	0.3333333	chr5:157792819-159792819	ADRA1B
GO Molecular Function	GO:0042301	phosphate ion binding	14	0.005885633	1	1	169.4673	0.005900844	1	0.0007376055	0.125	23	0.009715093	1	1	102.5057	0.009755557	1	11	0.0625	0.09090909	chr12:110884608-112884608	SH2B3
GO Molecular Function	GO:0044212	transcription regulatory region DNA binding	15	0.006199428	1	1	7.31871	0.4099083	3	0.05123854	0.375	11	0.003637661	1	1	9.396354	0.3192728	3	360	0.1875	0.008333333	chr14:102230758-104230758,chr3:4026008-6026008,chr6:30154493-32154493	BHLHE40,POU5F1,RCOR1
GO Molecular Function	GO:0000975	regulatory region DNA binding	16	0.006503342	1	1	7.194707	0.4169732	3	0.05212165	0.375	13	0.00384003	1	1	9.217132	0.3254808	3	367	0.1875	0.008174387	chr14:102230758-104230758,chr3:4026008-6026008,chr6:30154493-32154493	BHLHE40,POU5F1,RCOR1
GO Molecular Function	GO:0042605	peptide antigen binding	17	0.0072789	1	1	136.9453	0.007302186	1	0.0009127733	0.125	32	0.01934165	1	1	51.25284	0.01951111	1	22	0.0625	0.04545455	chr6:30154493-32154493	HLA-C
GO Molecular Function	GO:0031625	ubiquitin protein ligase binding	18	0.007429954	1	1	14.8375	0.1347936	2	0.0168492	0.25	21	0.008541159	1	1	14.18318	0.1410121	2	159	0.125	0.01257862	chr14:102230758-104230758,chr6:30154493-32154493	POU5F1,TRAF3
GO Molecular Function	GO:0042803	protein homodimerization activity	19	0.01042329	1	1	6.071934	0.4940765	3	0.06175957	0.375	29	0.01335693	1	1	5.862543	0.5117233	3	577	0.1875	0.005199307	chr13:27604007-29604007,chr3:4026008-6026008,chr5:157792819-159792819	BHLHE40,FLT3,IL12B
GO Molecular Function	GO:0004936	alpha-adrenergic receptor activity	20	0.01061898	1	1	93.73266	0.01066864	1	0.00133358	0.125	18	0.005310163	1	1	187.9271	0.005321213	1	6	0.0625	0.1666667	chr5:157792819-159792819	ADRA1B
GO Molecular Function	GO:0031996	thioesterase binding	21	0.01093742	1	1	90.99085	0.01099012	1	0.001373765	0.125	27	0.01234927	1	1	80.54018	0.01241616	1	14	0.0625	0.07142857	chr14:102230758-104230758	TRAF3
GO Molecular Function	GO:0000982	RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity	22	0.01102795	1	1	12.08534	0.1654898	2	0.02068623	0.25	12	0.003746765	1	1	21.68389	0.09223436	2	104	0.125	0.01923077	chr14:102230758-104230758,chr3:4026008-6026008	BHLHE40,RCOR1
GO Molecular Function	GO:0003700	sequence-specific DNA binding transcription factor activity	23	0.01268399	1	1	3.867029	1.034386	4	0.1292982	0.5	25	0.01121523	1	1	4.361944	0.9170223	4	1034	0.25	0.003868472	chr14:102230758-104230758,chr14:67760141-69760141,chr3:4026008-6026008,chr6:30154493-32154493	BHLHE40,POU5F1,RCOR1,ZFP36L1
GO Molecular Function	GO:0001071	nucleic acid binding transcription factor activity	24	0.01289484	1	1	3.849085	1.039208	4	0.129901	0.5	26	0.01125262	1	1	4.357729	0.9179092	4	1035	0.25	0.003864734	chr14:102230758-104230758,chr14:67760141-69760141,chr3:4026008-6026008,chr6:30154493-32154493	BHLHE40,POU5F1,RCOR1,ZFP36L1
GO Molecular Function	GO:0035198	miRNA binding	25	0.01295106	1	1	76.77517	0.01302504	1	0.001628131	0.125	20	0.007074335	1	1	140.9453	0.00709495	1	8	0.0625	0.125	chr6:30154493-32154493	POU5F1
GO Molecular Function	GO:0005021	vascular endothelial growth factor-activated receptor activity	26	0.01336148	1	1	74.40341	0.01344024	1	0.001680031	0.125	19	0.006192616	1	1	161.0804	0.006208082	1	7	0.0625	0.1428571	chr13:27604007-29604007	FLT3
GO Molecular Function	GO:0043014	alpha-tubulin binding	27	0.01363208	1	1	72.91774	0.01371408	1	0.001714261	0.125	32	0.01934165	1	1	51.25284	0.01951111	1	22	0.0625	0.04545455	chr3:4026008-6026008	ARL8B
GO Molecular Function	GO:0003723	RNA binding	28	0.01536716	1	1	5.270415	0.5692151	3	0.07115189	0.375	46	0.04345652	1	1	3.729534	0.80439	3	907	0.1875	0.003307607	chr12:110884608-112884608,chr14:67760141-69760141,chr6:30154493-32154493	ATXN2,POU5F1,ZFP36L1
GO Molecular Function	GO:0004935	adrenergic receptor activity	29	0.01716153	1	1	57.83095	0.01729178	1	0.002161472	0.125	28	0.01322586	1	1	75.17083	0.01330303	1	15	0.0625	0.06666667	chr5:157792819-159792819	ADRA1B
GO Molecular Function	GO:0003823	antigen binding	30	0.01828945	1	1	54.23733	0.01843749	1	0.002304686	0.125	48	0.04854474	1	1	20.13504	0.04966465	1	56	0.0625	0.01785714	chr6:30154493-32154493	HLA-C
GO Molecular Function	GO:0048487	beta-tubulin binding	31	0.0188207	1	1	52.69394	0.01897751	1	0.002372189	0.125	38	0.02542188	1	1	38.88147	0.0257192	1	29	0.0625	0.03448276	chr3:4026008-6026008	ARL8B
GO Molecular Function	GO:0005515	protein binding	32	0.02132596	1	1	1.617657	4.945424	8	0.6181781	1	3	0.0004650686	1	0.5717243	1.973975	7.09229	14	7997	0.875	0.001750656	chr12:110884608-112884608,chr13:27604007-29604007,chr14:102230758-104230758,chr14:67760141-69760141,chr3:187115682-189115682,chr3:4026008-6026008,chr5:157792819-159792819,chr6:30154493-32154493	ADRA1B,ARL8B,ATXN2,BHLHE40,FLT3,HLA-C,IL12B,LPP,POU5F1,RAD51B,RCOR1,SH2B3,TRAF3,ZFP36L1
GO Molecular Function	GO:0016831	carboxy-lyase activity	33	0.02346242	1	1	42.18191	0.02370684	1	0.002963356	0.125	40	0.02974325	1	1	33.1636	0.03015354	1	34	0.0625	0.02941176	chr13:27604007-29604007	URAD
GO Molecular Function	GO:0005154	epidermal growth factor receptor binding	34	0.02816738	1	1	35.06222	0.02852073	1	0.003565091	0.125	30	0.01759792	1	1	56.37812	0.01773738	1	20	0.0625	0.05	chr12:110884608-112884608	ATXN2
GO Molecular Function	GO:0043425	bHLH transcription factor binding	35	0.03006399	1	1	32.82238	0.03046701	1	0.003808377	0.125	34	0.02108248	1	1	46.98177	0.02128485	1	24	0.0625	0.04166667	chr3:4026008-6026008	BHLHE40
GO Molecular Function	GO:0016830	carbon-carbon lyase activity	36	0.03104464	1	1	31.77159	0.03147466	1	0.003934332	0.125	45	0.04259982	1	1	23.01148	0.04345657	1	49	0.0625	0.02040816	chr13:27604007-29604007	URAD
GO Molecular Function	GO:0070888	E-box binding	37	0.03231777	1	1	30.50254	0.03278416	1	0.00409802	0.125	38	0.02542188	1	1	38.88147	0.0257192	1	29	0.0625	0.03448276	chr3:4026008-6026008	BHLHE40
GO Molecular Function	GO:0043548	phosphatidylinositol 3-kinase binding	38	0.03308157	1	1	29.78805	0.0335705	1	0.004196313	0.125	34	0.02108248	1	1	46.98177	0.02128485	1	24	0.0625	0.04166667	chr13:27604007-29604007	FLT3
GO Molecular Function	GO:0019003	GDP binding	39	0.03380253	1	1	29.14327	0.03431324	1	0.004289155	0.125	43	0.04004136	1	1	24.51223	0.04079596	1	46	0.0625	0.02173913	chr3:4026008-6026008	ARL8B
GO Molecular Function	GO:0042802	identical protein binding	40	0.0361375	1	1	3.826486	0.7840091	3	0.09800114	0.375	50	0.05098709	1	1	3.498126	0.8576021	3	967	0.1875	0.003102378	chr13:27604007-29604007,chr3:4026008-6026008,chr5:157792819-159792819	BHLHE40,FLT3,IL12B
GO Molecular Function	GO:0046983	protein dimerization activity	41	0.042049	1	1	3.609925	0.8310422	3	0.1038803	0.375	22	0.009549517	1	1	4.569656	0.8753395	4	987	0.25	0.004052685	chr13:27604007-29604007,chr3:4026008-6026008,chr5:157792819-159792819	ADRA1B,BHLHE40,FLT3,IL12B
GO Molecular Function	GO:0004888	transmembrane signaling receptor activity	42	0.04235113	1	1	3.59995	0.8333449	3	0.1041681	0.375	31	0.01762941	1	1	3.819009	1.047392	4	1181	0.25	0.00338696	chr13:27604007-29604007,chr5:157792819-159792819,chr6:30154493-32154493	ADRA1B,FLT3,HLA-C,IL12B
GO Molecular Function	GO:0001191	RNA polymerase II transcription factor binding transcription factor activity involved in negative regulation of transcription	43	0.04276398	1	1	22.94308	0.04358612	1	0.005448265	0.125	37	0.02455545	1	1	40.27009	0.02483233	1	28	0.0625	0.03571429	chr3:4026008-6026008	BHLHE40
GO Molecular Function	GO:0046982	protein heterodimerization activity	44	0.0433352	1	1	5.82994	0.3430567	2	0.04288208	0.25	17	0.005059301	1	1	8.352315	0.3591819	3	405	0.1875	0.007407407	chr3:4026008-6026008,chr5:157792819-159792819	ADRA1B,BHLHE40,IL12B
GO Molecular Function	GO:0001102	RNA polymerase II activating transcription factor binding	45	0.0438272	1	1	22.37571	0.04469133	1	0.005586416	0.125	41	0.03060537	1	1	32.21607	0.03104041	1	35	0.0625	0.02857143	chr3:4026008-6026008	BHLHE40
GO Molecular Function	GO:0003676	nucleic acid binding	46	0.04653357	1	1	2.19921	2.273544	5	0.284193	0.625	55	0.06368046	1	1	1.991573	3.012693	6	3397	0.375	0.001766264	chr12:110884608-112884608,chr14:102230758-104230758,chr14:67760141-69760141,chr3:4026008-6026008,chr6:30154493-32154493	ATXN2,BHLHE40,POU5F1,RAD51B,RCOR1,ZFP36L1
GO Molecular Function	GO:0008094	DNA-dependent ATPase activity	47	0.05294794	1	1	18.44452	0.05421666	1	0.006777082	0.125	54	0.06200342	1	1	15.66059	0.06385455	1	72	0.0625	0.01388889	chr14:67760141-69760141	RAD51B
GO Molecular Function	GO:0019955	cytokine binding	48	0.05429727	1	1	17.97505	0.05563266	1	0.006954082	0.125	51	0.05613736	1	1	17.34712	0.05764647	1	65	0.0625	0.01538462	chr5:157792819-159792819	IL12B
GO Molecular Function	GO:0008227	G-protein coupled amine receptor activity	49	0.05807599	1	1	16.77641	0.05960751	1	0.007450938	0.125	43	0.04004136	1	1	24.51223	0.04079596	1	46	0.0625	0.02173913	chr5:157792819-159792819	ADRA1B
GO Molecular Function	GO:0038023	signaling receptor activity	50	0.05809344	1	1	3.18165	0.9429071	3	0.1178634	0.375	36	0.02281732	1	1	3.534679	1.131645	4	1276	0.25	0.003134796	chr13:27604007-29604007,chr5:157792819-159792819,chr6:30154493-32154493	ADRA1B,FLT3,HLA-C,IL12B
GO Molecular Function	GO:0005102	receptor binding	51	0.06265581	1	1	3.087676	0.9716044	3	0.1214505	0.375	62	0.08693077	1	1	2.804882	1.069564	3	1206	0.1875	0.002487562	chr12:110884608-112884608,chr5:157792819-159792819,chr6:30154493-32154493	ATXN2,HLA-C,IL12B
GO Molecular Function	GO:0033613	activating transcription factor binding	52	0.06513054	1	1	14.91076	0.06706568	1	0.00838321	0.125	47	0.0451519	1	1	21.68389	0.04611718	1	52	0.0625	0.01923077	chr3:4026008-6026008	BHLHE40
GO Molecular Function	GO:0008134	transcription factor binding	53	0.06518767	1	1	4.649944	0.4301128	2	0.05376409	0.25	53	0.06126976	1	1	4.913126	0.4070728	2	459	0.125	0.004357298	chr3:4026008-6026008,chr6:30154493-32154493	BHLHE40,POU5F1
GO Molecular Function	GO:1901363	heterocyclic compound binding	54	0.06900024	1	1	1.754827	3.41914	6	0.4273925	0.75	56	0.06648168	1	1	1.701981	4.700405	8	5300	0.5	0.001509434	chr12:110884608-112884608,chr13:27604007-29604007,chr14:102230758-104230758,chr14:67760141-69760141,chr3:4026008-6026008,chr6:30154493-32154493	ARL8B,ATXN2,BHLHE40,FLT3,POU5F1,RAD51B,RCOR1,ZFP36L1
GO Molecular Function	GO:0097159	organic cyclic compound binding	55	0.07299899	1	1	1.734584	3.459043	6	0.4323803	0.75	59	0.07147162	1	1	1.678857	4.765146	8	5373	0.5	0.001488926	chr12:110884608-112884608,chr13:27604007-29604007,chr14:102230758-104230758,chr14:67760141-69760141,chr3:4026008-6026008,chr6:30154493-32154493	ARL8B,ATXN2,BHLHE40,FLT3,POU5F1,RAD51B,RCOR1,ZFP36L1
GO Molecular Function	GO:0003677	DNA binding	56	0.07331106	1	1	2.303218	1.736701	4	0.2170876	0.5	49	0.04973468	1	1	2.367834	2.111635	5	2381	0.3125	0.002099958	chr14:102230758-104230758,chr14:67760141-69760141,chr3:4026008-6026008,chr6:30154493-32154493	BHLHE40,POU5F1,RAD51B,RCOR1,ZFP36L1
GO Molecular Function	GO:0004872	receptor activity	57	0.08597199	1	1	2.717814	1.103828	3	0.1379785	0.375	42	0.03791796	1	1	3.022956	1.323208	4	1492	0.25	0.002680965	chr13:27604007-29604007,chr5:157792819-159792819,chr6:30154493-32154493	ADRA1B,FLT3,HLA-C,IL12B
GO Molecular Function	GO:0017111	nucleoside-triphosphatase activity	58	0.08825127	1	1	3.915617	0.5107752	2	0.0638469	0.25	71	0.1445615	1	1	2.963371	0.6749072	2	761	0.125	0.002628121	chr14:67760141-69760141,chr3:4026008-6026008	ARL8B,RAD51B
GO Molecular Function	GO:0003729	mRNA binding	59	0.09074356	1	1	10.57476	0.09456477	1	0.0118206	0.125	64	0.09082456	1	1	10.53797	0.09489496	1	107	0.0625	0.009345794	chr14:67760141-69760141	ZFP36L1
GO Molecular Function	GO:0004714	transmembrane receptor protein tyrosine kinase activity	60	0.09137824	1	1	10.49816	0.09525475	1	0.01190684	0.125	51	0.05613736	1	1	17.34712	0.05764647	1	65	0.0625	0.01538462	chr13:27604007-29604007	FLT3
GO Molecular Function	GO:0016462	pyrophosphatase activity	61	0.09613806	1	1	3.727078	0.5366134	2	0.06707668	0.25	72	0.1563362	1	1	2.822434	0.7086082	2	799	0.125	0.002503129	chr14:67760141-69760141,chr3:4026008-6026008	ARL8B,RAD51B
GO Molecular Function	GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	62	0.09668283	1	1	3.714906	0.5383716	2	0.06729645	0.25	73	0.1572746	1	1	2.811877	0.7112688	2	802	0.125	0.002493766	chr14:67760141-69760141,chr3:4026008-6026008	ARL8B,RAD51B
GO Molecular Function	GO:0016817	hydrolase activity, acting on acid anhydrides	63	0.09703694	1	1	3.707049	0.5395127	2	0.06743909	0.25	74	0.1588412	1	1	2.794455	0.7157031	2	807	0.125	0.002478315	chr14:67760141-69760141,chr3:4026008-6026008	ARL8B,RAD51B
GO Molecular Function	GO:0001085	RNA polymerase II transcription factor binding	64	0.1007714	1	1	9.477238	0.105516	1	0.0131895	0.125	60	0.07528347	1	1	12.81321	0.07804445	1	88	0.0625	0.01136364	chr3:4026008-6026008	BHLHE40
GO Molecular Function	GO:0016829	lyase activity	65	0.1074779	1	1	8.857409	0.1128998	1	0.01411248	0.125	69	0.1328918	1	1	7.047266	0.141899	1	160	0.0625	0.00625	chr13:27604007-29604007	URAD
GO Molecular Function	GO:0019199	transmembrane receptor protein kinase activity	66	0.1093592	1	1	8.697177	0.1149798	1	0.01437248	0.125	58	0.07032424	1	1	13.75076	0.07272324	1	82	0.0625	0.01219512	chr13:27604007-29604007	FLT3
GO Molecular Function	GO:0003705	RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity	67	0.1120438	1	1	8.477834	0.1179547	1	0.01474433	0.125	61	0.07775377	1	1	12.3908	0.08070506	1	91	0.0625	0.01098901	chr3:4026008-6026008	BHLHE40
GO Molecular Function	GO:0042277	peptide binding	68	0.1198441	1	1	7.896202	0.1266432	1	0.0158304	0.125	66	0.1290026	1	1	7.274597	0.1374647	1	155	0.0625	0.006451613	chr6:30154493-32154493	HLA-C
GO Molecular Function	GO:0033218	amide binding	69	0.122893	1	1	7.688907	0.1300575	1	0.01625719	0.125	67	0.1321153	1	1	7.091588	0.1410121	1	159	0.0625	0.006289308	chr6:30154493-32154493	HLA-C
GO Molecular Function	GO:0008022	protein C-terminus binding	70	0.1240136	1	1	7.615273	0.1313151	1	0.01641438	0.125	67	0.1321153	1	1	7.091588	0.1410121	1	159	0.0625	0.006289308	chr12:110884608-112884608	ATXN2
GO Molecular Function	GO:0043168	anion binding	71	0.1250505	1	1	1.93867	2.06327	4	0.2579088	0.5	82	0.2137004	1	1	1.655138	2.416717	4	2725	0.25	0.00146789	chr12:110884608-112884608,chr13:27604007-29604007,chr14:67760141-69760141,chr3:4026008-6026008	ARL8B,FLT3,RAD51B,SH2B3
GO Molecular Function	GO:0005126	cytokine receptor binding	72	0.1274724	1	1	7.396154	0.1352054	1	0.01690068	0.125	77	0.1775722	1	1	5.148687	0.1942243	1	219	0.0625	0.00456621	chr5:157792819-159792819	IL12B
GO Molecular Function	GO:0005125	cytokine activity	73	0.1287113	1	1	7.320528	0.1366022	1	0.01707527	0.125	76	0.173129	1	1	5.293721	0.1889031	1	213	0.0625	0.004694836	chr5:157792819-159792819	IL12B
GO Molecular Function	GO:0035639	purine ribonucleoside triphosphate binding	74	0.130304	1	1	2.283434	1.313811	3	0.1642264	0.375	80	0.2113784	1	1	1.871991	1.602572	3	1807	0.1875	0.00166021	chr13:27604007-29604007,chr14:67760141-69760141,chr3:4026008-6026008	ARL8B,FLT3,RAD51B
GO Molecular Function	GO:0032550	purine ribonucleoside binding	75	0.1319075	1	1	2.271463	1.320735	3	0.1650919	0.375	81	0.2135143	1	1	1.862713	1.610554	3	1816	0.1875	0.001651982	chr13:27604007-29604007,chr14:67760141-69760141,chr3:4026008-6026008	ARL8B,FLT3,RAD51B
GO Molecular Function	GO:0001076	RNA polymerase II transcription factor binding transcription factor activity	76	0.1320674	1	1	7.122775	0.1403947	1	0.01754934	0.125	63	0.08757324	1	1	10.94721	0.09134749	1	103	0.0625	0.009708738	chr3:4026008-6026008	BHLHE40
GO Molecular Function	GO:0001883	purine nucleoside binding	77	0.1320919	1	1	2.270098	1.321529	3	0.1651911	0.375	83	0.2142275	1	1	1.859641	1.613214	3	1819	0.1875	0.001649258	chr13:27604007-29604007,chr14:67760141-69760141,chr3:4026008-6026008	ARL8B,FLT3,RAD51B
GO Molecular Function	GO:0032549	ribonucleoside binding	78	0.1322697	1	1	2.268785	1.322294	3	0.1652867	0.375	84	0.2144654	1	1	1.85862	1.614101	3	1820	0.1875	0.001648352	chr13:27604007-29604007,chr14:67760141-69760141,chr3:4026008-6026008	ARL8B,FLT3,RAD51B
GO Molecular Function	GO:0001882	nucleoside binding	79	0.1332546	1	1	2.26155	1.326524	3	0.1658155	0.375	85	0.2168482	1	1	1.848463	1.62297	3	1830	0.1875	0.001639344	chr13:27604007-29604007,chr14:67760141-69760141,chr3:4026008-6026008	ARL8B,FLT3,RAD51B
GO Molecular Function	GO:0003924	GTPase activity	80	0.1339114	1	1	7.018334	0.142484	1	0.0178105	0.125	78	0.1863914	1	1	4.881223	0.2048667	1	231	0.0625	0.004329004	chr3:4026008-6026008	ARL8B
GO Molecular Function	GO:0032555	purine ribonucleotide binding	81	0.1400111	1	1	2.213721	1.355184	3	0.1693981	0.375	87	0.2204353	1	1	1.833435	1.636273	3	1845	0.1875	0.001626016	chr13:27604007-29604007,chr14:67760141-69760141,chr3:4026008-6026008	ARL8B,FLT3,RAD51B
GO Molecular Function	GO:0017076	purine nucleotide binding	82	0.1413892	1	1	2.204331	1.360957	3	0.1701196	0.375	89	0.2245191	1	1	1.816696	1.65135	3	1862	0.1875	0.001611171	chr13:27604007-29604007,chr14:67760141-69760141,chr3:4026008-6026008	ARL8B,FLT3,RAD51B
GO Molecular Function	GO:0032553	ribonucleotide binding	83	0.1428215	1	1	2.194697	1.366931	3	0.1708664	0.375	88	0.223797	1	1	1.819627	1.648689	3	1859	0.1875	0.001613771	chr13:27604007-29604007,chr14:67760141-69760141,chr3:4026008-6026008	ARL8B,FLT3,RAD51B
GO Molecular Function	GO:0004713	protein tyrosine kinase activity	84	0.144234	1	1	6.482908	0.1542518	1	0.01928147	0.125	65	0.121175	1	1	7.776293	0.128596	1	145	0.0625	0.006896552	chr13:27604007-29604007	FLT3
GO Molecular Function	GO:0015631	tubulin binding	85	0.1513533	1	1	6.156102	0.1624404	1	0.02030506	0.125	75	0.170899	1	1	5.369345	0.1862424	1	210	0.0625	0.004761905	chr3:4026008-6026008	ARL8B
GO Molecular Function	GO:0008083	growth factor activity	86	0.1553721	1	1	5.984819	0.1670894	1	0.02088618	0.125	70	0.1352175	1	1	6.917561	0.1445596	1	163	0.0625	0.006134969	chr5:157792819-159792819	IL12B
GO Molecular Function	GO:0043167	ion binding	87	0.1573664	1	1	1.472011	4.076056	6	0.509507	0.75	93	0.265719	1	1	1.308077	5.351366	7	6034	0.4375	0.001160093	chr12:110884608-112884608,chr13:27604007-29604007,chr14:102230758-104230758,chr14:67760141-69760141,chr3:187115682-189115682,chr3:4026008-6026008	ARL8B,FLT3,LPP,RAD51B,SH2B3,TRAF3,ZFP36L1
GO Molecular Function	GO:0042623	ATPase activity, coupled	88	0.1833661	1	1	4.999464	0.2000214	1	0.02500268	0.125	90	0.2256905	1	1	3.942526	0.2536445	1	286	0.0625	0.003496503	chr14:67760141-69760141	RAD51B
GO Molecular Function	GO:0004842	ubiquitin-protein ligase activity	89	0.1926608	1	1	4.735427	0.2111742	1	0.02639678	0.125	79	0.2080533	1	1	4.320163	0.2314728	1	261	0.0625	0.003831418	chr14:102230758-104230758	TRAF3
GO Molecular Function	GO:0005488	binding	90	0.1987216	1	1	1.223825	6.536881	8	0.8171102	1	57	0.06752685	1	1	1.296688	10.79674	14	12174	0.875	0.001149992	chr12:110884608-112884608,chr13:27604007-29604007,chr14:102230758-104230758,chr14:67760141-69760141,chr3:187115682-189115682,chr3:4026008-6026008,chr5:157792819-159792819,chr6:30154493-32154493	ADRA1B,ARL8B,ATXN2,BHLHE40,FLT3,HLA-C,IL12B,LPP,POU5F1,RAD51B,RCOR1,SH2B3,TRAF3,ZFP36L1
GO Molecular Function	GO:0019787	small conjugating protein ligase activity	91	0.1993207	1	1	4.561319	0.2192348	1	0.02740435	0.125	86	0.2186803	1	1	4.085371	0.2447758	1	276	0.0625	0.003623188	chr14:102230758-104230758	TRAF3
GO Molecular Function	GO:0097367	carbohydrate derivative binding	92	0.2022537	1	1	1.878537	1.596988	3	0.1996235	0.375	100	0.2932546	1	1	1.581434	1.897012	3	2139	0.1875	0.001402525	chr13:27604007-29604007,chr14:67760141-69760141,chr3:4026008-6026008	ARL8B,FLT3,RAD51B
GO Molecular Function	GO:0016881	acid-amino acid ligase activity	93	0.2134434	1	1	4.227906	0.2365237	1	0.02956546	0.125	91	0.2367844	1	1	3.733651	0.2678344	1	302	0.0625	0.003311258	chr14:102230758-104230758	TRAF3
GO Molecular Function	GO:0000166	nucleotide binding	94	0.2211097	1	1	1.80229	1.664549	3	0.2080686	0.375	103	0.3382907	1	1	1.461204	2.053101	3	2315	0.1875	0.001295896	chr13:27604007-29604007,chr14:67760141-69760141,chr3:4026008-6026008	ARL8B,FLT3,RAD51B
GO Molecular Function	GO:1901265	nucleoside phosphate binding	95	0.2213286	1	1	1.801454	1.665322	3	0.2081652	0.375	104	0.338548	1	1	1.460573	2.053988	3	2316	0.1875	0.001295337	chr13:27604007-29604007,chr14:67760141-69760141,chr3:4026008-6026008	ARL8B,FLT3,RAD51B
GO Molecular Function	GO:0016887	ATPase activity	96	0.2224856	1	1	4.036552	0.2477362	1	0.03096702	0.125	94	0.2737936	1	1	3.158438	0.3166122	1	357	0.0625	0.00280112	chr14:67760141-69760141	RAD51B
GO Molecular Function	GO:0005525	GTP binding	97	0.2264767	1	1	3.956922	0.2527217	1	0.03159021	0.125	97	0.2829418	1	1	3.039252	0.3290283	1	371	0.0625	0.002695418	chr3:4026008-6026008	ARL8B
