Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
GO Molecular Function	GO:0060229	lipase activator activity	11	0.002441845	1	0.818684	409.0886	0.002444458	1	0.0003055573	0.125	17	0.006633475	1	1	150.3417	0.006651516	1	8	0.06666667	0.125	chr17:63224775-65224775	APOH
GO Molecular Function	GO:0004866	endopeptidase inhibitor activity	12	0.003602548	1	1	21.53355	0.09287834	2	0.01160979	0.25	2	0.0002933395	1	0.540918	22.41118	0.1338618	3	161	0.2	0.01863354	chr14:93844947-95844947,chr3:185449122-187449122	KNG1,SERPINA1,SERPINA6
GO Molecular Function	GO:0061135	endopeptidase regulator activity	13	0.003822178	1	1	20.89074	0.09573619	2	0.01196702	0.25	3	0.000320906	1	0.3945004	21.73614	0.138019	3	166	0.2	0.01807229	chr14:93844947-95844947,chr3:185449122-187449122	KNG1,SERPINA1,SERPINA6
GO Molecular Function	GO:0030414	peptidase inhibitor activity	14	0.004028948	1	1	20.33425	0.09835622	2	0.01229453	0.25	4	0.0003266129	1	0.3011371	21.60599	0.1388504	3	167	0.2	0.01796407	chr14:93844947-95844947,chr3:185449122-187449122	KNG1,SERPINA1,SERPINA6
GO Molecular Function	GO:0042301	phosphate ion binding	15	0.005885633	1	1	169.4673	0.005900844	1	0.0007376055	0.125	20	0.009110423	1	1	109.3394	0.009145834	1	11	0.06666667	0.09090909	chr3:171274232-173274232	NCEH1
GO Molecular Function	GO:0061134	peptidase regulator activity	16	0.005908788	1	1	16.70106	0.1197529	2	0.01496911	0.25	7	0.0005615919	1	0.2958787	17.95124	0.1671193	3	201	0.2	0.01492537	chr14:93844947-95844947,chr3:185449122-187449122	KNG1,SERPINA1,SERPINA6
GO Molecular Function	GO:0015926	glucosidase activity	17	0.006893642	1	1	144.6231	0.006914523	1	0.0008643153	0.125	19	0.008285415	1	1	120.2733	0.008314395	1	10	0.06666667	0.1	chr14:93844947-95844947	SERPINA6
GO Molecular Function	GO:0016787	hydrolase activity	18	0.009634251	1	1	3.180057	1.572299	5	0.1965374	0.625	26	0.03958991	1	1	2.502566	1.997949	5	2403	0.3333333	0.002080732	chr11:60549025-62549025,chr14:93844947-95844947,chr18:28804863-30804863,chr3:171274232-173274232,chr3:185449122-187449122	EIF4A2,MEP1B,MYRF,NCEH1,SERPINA6
GO Molecular Function	GO:0005164	tumor necrosis factor receptor binding	19	0.01489017	1	1	66.71967	0.01498808	1	0.001873511	0.125	24	0.02140893	1	1	46.25897	0.02161743	1	26	0.06666667	0.03846154	chr3:171274232-173274232	TNFSF10
GO Molecular Function	GO:0070064	proline-rich region binding	20	0.01531113	1	1	64.8732	0.01541469	1	0.001926836	0.125	22	0.01486757	1	1	66.81852	0.01496591	1	18	0.06666667	0.05555556	chr18:28804863-30804863	GAREM
GO Molecular Function	GO:0004857	enzyme inhibitor activity	21	0.01836676	1	1	9.245704	0.2163167	2	0.02703958	0.25	11	0.002204922	1	0.7392502	11.1709	0.268555	3	323	0.2	0.009287926	chr14:93844947-95844947,chr3:185449122-187449122	KNG1,SERPINA1,SERPINA6
GO Molecular Function	GO:0032813	tumor necrosis factor receptor superfamily binding	22	0.02118728	1	1	46.75887	0.02138632	1	0.00267329	0.125	25	0.02952862	1	1	33.40926	0.02993182	1	36	0.06666667	0.02777778	chr3:171274232-173274232	TNFSF10
GO Molecular Function	GO:0043395	heparan sulfate proteoglycan binding	23	0.02436133	1	1	40.60914	0.024625	1	0.003078125	0.125	21	0.01240405	1	1	80.18222	0.01247159	1	15	0.06666667	0.06666667	chr1:195710916-197710916	CFH
GO Molecular Function	GO:0003743	translation initiation factor activity	24	0.0299207	1	1	32.98169	0.03031985	1	0.003789982	0.125	28	0.04637573	1	1	21.10058	0.04739205	1	57	0.06666667	0.01754386	chr3:185449122-187449122	EIF4A2
GO Molecular Function	GO:0004869	cysteine-type endopeptidase inhibitor activity	25	0.03153069	1	1	31.27501	0.03197441	1	0.003996802	0.125	27	0.03999023	1	1	24.54558	0.04074054	1	49	0.06666667	0.02040816	chr3:185449122-187449122	KNG1
GO Molecular Function	GO:0030234	enzyme regulator activity	26	0.03540975	1	1	3.85638	0.7779316	3	0.09724145	0.375	18	0.007534709	1	1	4.864442	0.8222937	4	989	0.2666667	0.004044489	chr14:93844947-95844947,chr17:63224775-65224775,chr3:185449122-187449122	APOH,KNG1,SERPINA1,SERPINA6
GO Molecular Function	GO:0043394	proteoglycan binding	27	0.03597684	1	1	27.35515	0.03655618	1	0.004569523	0.125	23	0.01650672	1	1	60.13667	0.01662879	1	20	0.06666667	0.05	chr1:195710916-197710916	CFH
GO Molecular Function	GO:0002020	protease binding	28	0.03751168	1	1	26.21772	0.03814214	1	0.004767767	0.125	29	0.05034651	1	1	19.39892	0.05154925	1	62	0.06666667	0.01612903	chr14:93844947-95844947	SERPINA1
GO Molecular Function	GO:0004867	serine-type endopeptidase inhibitor activity	29	0.04870476	1	1	20.09028	0.04977532	1	0.006221915	0.125	14	0.002698478	1	0.7108562	25.59007	0.07815531	2	94	0.1333333	0.0212766	chr14:93844947-95844947	SERPINA1,SERPINA6
GO Molecular Function	GO:0008135	translation factor activity, nucleic acid binding	30	0.05136104	1	1	19.02818	0.05255362	1	0.006569203	0.125	32	0.07616914	1	1	12.66035	0.07898675	1	95	0.06666667	0.01052632	chr3:185449122-187449122	EIF4A2
GO Molecular Function	GO:0008233	peptidase activity	31	0.06214779	1	1	4.776003	0.4187602	2	0.05234503	0.25	36	0.08864978	1	1	3.969417	0.5038523	2	606	0.1333333	0.00330033	chr11:60549025-62549025,chr18:28804863-30804863	MEP1B,MYRF
GO Molecular Function	GO:0008026	ATP-dependent helicase activity	32	0.06894961	1	1	14.05999	0.07112383	1	0.008890478	0.125	35	0.0884519	1	1	10.83544	0.09228978	1	111	0.06666667	0.009009009	chr3:185449122-187449122	EIF4A2
GO Molecular Function	GO:0005496	steroid binding	33	0.06975854	1	1	13.89173	0.07198527	1	0.008998158	0.125	31	0.06373204	1	1	15.22447	0.06568372	1	79	0.06666667	0.01265823	chr14:93844947-95844947	SERPINA6
GO Molecular Function	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	34	0.07021971	1	1	13.79754	0.07247667	1	0.009059584	0.125	33	0.07925423	1	1	12.14882	0.08231251	1	99	0.06666667	0.01010101	chr14:93844947-95844947	SERPINA6
GO Molecular Function	GO:0003824	catalytic activity	35	0.07616825	1	1	1.719411	3.489567	6	0.4361959	0.75	54	0.2917651	1	1	1.313506	4.567929	6	5494	0.4	0.0010921	chr11:60549025-62549025,chr14:93844947-95844947,chr18:28804863-30804863,chr19:43153100-45153100,chr3:171274232-173274232,chr3:185449122-187449122	EIF4A2,MEP1B,MYRF,NCEH1,PLAUR,SERPINA6
GO Molecular Function	GO:0016798	hydrolase activity, acting on glycosyl bonds	36	0.07840069	1	1	12.31079	0.08122954	1	0.01015369	0.125	38	0.09982841	1	1	9.545503	0.1047614	1	126	0.06666667	0.007936508	chr14:93844947-95844947	SERPINA6
GO Molecular Function	GO:0017171	serine hydrolase activity	37	0.08767943	1	1	10.96016	0.09123957	1	0.01140495	0.125	41	0.1360749	1	1	6.872762	0.1455019	1	175	0.06666667	0.005714286	chr3:171274232-173274232	NCEH1
GO Molecular Function	GO:0004222	metalloendopeptidase activity	38	0.0955543	1	1	10.01952	0.09980522	1	0.01247565	0.125	34	0.0823297	1	1	11.67702	0.08563827	1	103	0.06666667	0.009708738	chr18:28804863-30804863	MEP1B
GO Molecular Function	GO:0004386	helicase activity	39	0.09660425	1	1	9.905679	0.1009522	1	0.01261902	0.125	39	0.1177556	1	1	8.018222	0.1247159	1	150	0.06666667	0.006666667	chr3:185449122-187449122	EIF4A2
GO Molecular Function	GO:0043168	anion binding	40	0.1250505	1	1	1.93867	2.06327	4	0.2579088	0.5	30	0.06320174	1	1	2.20685	2.265673	5	2725	0.3333333	0.001834862	chr17:63224775-65224775,chr1:195710916-197710916,chr3:171274232-173274232,chr3:185449122-187449122	APOH,CFH,EIF4A2,KNG1,NCEH1
GO Molecular Function	GO:0005515	protein binding	41	0.126703	1	1	1.41545	4.945424	7	0.6181781	0.875	56	0.3269126	1	1	1.203185	6.649022	8	7997	0.5333333	0.001000375	chr14:93844947-95844947,chr17:63224775-65224775,chr18:28804863-30804863,chr19:43153100-45153100,chr1:195710916-197710916,chr3:171274232-173274232,chr3:185449122-187449122	APOH,CFH,GAREM,KNG1,MEP1B,PLAUR,SERPINA1,TNFSF10
GO Molecular Function	GO:0005126	cytokine receptor binding	42	0.1274724	1	1	7.396154	0.1352054	1	0.01690068	0.125	44	0.1674575	1	1	5.491933	0.1820853	1	219	0.06666667	0.00456621	chr3:171274232-173274232	TNFSF10
GO Molecular Function	GO:0005125	cytokine activity	43	0.1287113	1	1	7.320528	0.1366022	1	0.01707527	0.125	43	0.1632416	1	1	5.646635	0.1770966	1	213	0.06666667	0.004694836	chr3:171274232-173274232	TNFSF10
GO Molecular Function	GO:0008289	lipid binding	44	0.1380842	1	1	3.010683	0.664301	2	0.08303762	0.25	40	0.1282822	1	1	3.186049	0.6277368	2	755	0.1333333	0.002649007	chr14:93844947-95844947,chr17:63224775-65224775	APOH,SERPINA6
GO Molecular Function	GO:0008237	metallopeptidase activity	45	0.1537727	1	1	6.051916	0.1652369	1	0.02065462	0.125	42	0.1404184	1	1	6.644936	0.1504905	1	181	0.06666667	0.005524862	chr18:28804863-30804863	MEP1B
GO Molecular Function	GO:0042802	identical protein binding	46	0.1809667	1	1	2.550991	0.7840091	2	0.09800114	0.25	45	0.1905247	1	1	2.487556	0.804002	2	967	0.1333333	0.002068252	chr14:93844947-95844947,chr17:63224775-65224775	APOH,SERPINA1
GO Molecular Function	GO:0042623	ATPase activity, coupled	47	0.1833661	1	1	4.999464	0.2000214	1	0.02500268	0.125	47	0.2132073	1	1	4.205361	0.2377917	1	286	0.06666667	0.003496503	chr3:185449122-187449122	EIF4A2
GO Molecular Function	GO:0005488	binding	48	0.1987216	1	1	1.223825	6.536881	8	0.8171102	1	48	0.2287196	1	1	1.185543	10.12194	12	12174	0.8	0.0009857072	chr11:60549025-62549025,chr14:93844947-95844947,chr17:63224775-65224775,chr18:28804863-30804863,chr19:43153100-45153100,chr1:195710916-197710916,chr3:171274232-173274232,chr3:185449122-187449122	APOH,CFH,EIF4A2,GAREM,KNG1,MEP1B,MYRF,NCEH1,PLAUR,SERPINA1,SERPINA6,TNFSF10
GO Molecular Function	GO:0097367	carbohydrate derivative binding	49	0.2022537	1	1	1.878537	1.596988	3	0.1996235	0.375	37	0.09248848	1	1	2.249151	1.778449	4	2139	0.2666667	0.001870033	chr17:63224775-65224775,chr1:195710916-197710916,chr3:185449122-187449122	APOH,CFH,EIF4A2,KNG1
GO Molecular Function	GO:0004175	endopeptidase activity	50	0.2140648	1	1	4.214243	0.2372906	1	0.02966132	0.125	53	0.2697367	1	1	3.215865	0.3109584	1	374	0.06666667	0.002673797	chr18:28804863-30804863	MEP1B
GO Molecular Function	GO:0016887	ATPase activity	51	0.2224856	1	1	4.036552	0.2477362	1	0.03096702	0.125	50	0.2591207	1	1	3.369001	0.2968239	1	357	0.06666667	0.00280112	chr3:185449122-187449122	EIF4A2
GO Molecular Function	GO:0008270	zinc ion binding	52	0.22839	1	1	2.199331	0.9093676	2	0.113671	0.25	51	0.2603712	1	1	2.019703	0.9902444	2	1191	0.1333333	0.001679261	chr18:28804863-30804863,chr3:185449122-187449122	KNG1,MEP1B
GO Molecular Function	GO:0019899	enzyme binding	53	0.2347484	1	1	2.160254	0.925817	2	0.1157271	0.25	49	0.2537327	1	1	2.055954	0.9727842	2	1170	0.1333333	0.001709402	chr14:93844947-95844947,chr19:43153100-45153100	PLAUR,SERPINA1
GO Molecular Function	GO:0005102	receptor binding	54	0.2525686	1	1	2.058451	0.9716044	2	0.1214505	0.25	52	0.265119	1	1	1.994583	1.002716	2	1206	0.1333333	0.001658375	chr3:171274232-173274232,chr3:185449122-187449122	KNG1,TNFSF10
GO Molecular Function	GO:0046914	transition metal ion binding	55	0.2861573	1	1	1.892146	1.057001	2	0.1321251	0.25	57	0.3342098	1	1	1.689232	1.18397	2	1424	0.1333333	0.001404494	chr18:28804863-30804863,chr3:185449122-187449122	KNG1,MEP1B
GO Molecular Function	GO:0008047	enzyme activator activity	56	0.3205788	1	1	2.650231	0.3773255	1	0.04716569	0.125	55	0.2959584	1	1	2.884253	0.3467103	1	417	0.06666667	0.002398082	chr17:63224775-65224775	APOH
GO Molecular Function	GO:0070011	peptidase activity, acting on L-amino acid peptides	57	0.3307511	1	1	2.553067	0.3916857	1	0.04896072	0.125	59	0.3854795	1	1	2.088079	0.4789092	1	576	0.06666667	0.001736111	chr18:28804863-30804863	MEP1B
GO Molecular Function	GO:0043167	ion binding	58	0.3842679	1	1	1.226676	4.076056	5	0.509507	0.625	46	0.2056767	1	1	1.395282	5.016906	7	6034	0.4666667	0.001160093	chr17:63224775-65224775,chr18:28804863-30804863,chr1:195710916-197710916,chr3:171274232-173274232,chr3:185449122-187449122	APOH,CFH,EIF4A2,KNG1,MEP1B,NCEH1,TNFSF10
GO Molecular Function	GO:0005543	phospholipid binding	59	0.400718	1	1	2.016204	0.4959815	1	0.06199769	0.125	58	0.347464	1	1	2.376943	0.4207084	1	506	0.06666667	0.001976285	chr17:63224775-65224775	APOH
GO Molecular Function	GO:0017111	nucleoside-triphosphatase activity	60	0.4101046	1	1	1.957808	0.5107752	1	0.0638469	0.125	60	0.4762361	1	1	1.580464	0.6327255	1	761	0.06666667	0.00131406	chr3:185449122-187449122	EIF4A2
GO Molecular Function	GO:0016462	pyrophosphatase activity	61	0.4261907	1	1	1.863539	0.5366134	1	0.06707668	0.125	61	0.4932563	1	1	1.505298	0.6643202	1	799	0.06666667	0.001251564	chr3:185449122-187449122	EIF4A2
GO Molecular Function	GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	62	0.4272712	1	1	1.857453	0.5383716	1	0.06729645	0.125	62	0.4945778	1	1	1.499667	0.6668145	1	802	0.06666667	0.001246883	chr3:185449122-187449122	EIF4A2
GO Molecular Function	GO:0016817	hydrolase activity, acting on acid anhydrides	63	0.4279715	1	1	1.853524	0.5395127	1	0.06743909	0.125	63	0.4967731	1	1	1.490376	0.6709717	1	807	0.06666667	0.001239157	chr3:185449122-187449122	EIF4A2
GO Molecular Function	GO:0003723	RNA binding	64	0.445939	1	1	1.756805	0.5692151	1	0.07115189	0.125	65	0.538854	1	1	1.326057	0.7541156	1	907	0.06666667	0.001102536	chr3:185449122-187449122	EIF4A2
GO Molecular Function	GO:0016301	kinase activity	65	0.5179649	1	1	1.433804	0.6974452	1	0.08718065	0.125	64	0.5063272	1	1	1.450824	0.6892633	1	829	0.06666667	0.001206273	chr19:43153100-45153100	PLAUR
GO Molecular Function	GO:0016772	transferase activity, transferring phosphorus-containing groups	66	0.553745	1	1	1.302916	0.7675094	1	0.09593868	0.125	66	0.5640368	1	1	1.238654	0.8073278	1	971	0.06666667	0.001029866	chr19:43153100-45153100	PLAUR
GO Molecular Function	GO:0046872	metal ion binding	67	0.5788515	1	1	1.062928	2.822393	3	0.3527991	0.375	70	0.6722473	1	1	0.9102422	3.295826	3	3964	0.2	0.0007568113	chr18:28804863-30804863,chr3:171274232-173274232,chr3:185449122-187449122	KNG1,MEP1B,TNFSF10
GO Molecular Function	GO:0043169	cation binding	68	0.5972472	1	1	1.039901	2.884889	3	0.3606111	0.375	71	0.6843869	1	1	0.895335	3.350701	3	4030	0.2	0.0007444169	chr18:28804863-30804863,chr3:171274232-173274232,chr3:185449122-187449122	KNG1,MEP1B,TNFSF10
GO Molecular Function	GO:0038023	signaling receptor activity	69	0.6333204	1	1	1.06055	0.9429071	1	0.1178634	0.125	69	0.6673774	1	1	0.942581	1.060917	1	1276	0.06666667	0.0007836991	chr19:43153100-45153100	PLAUR
GO Molecular Function	GO:0003700	sequence-specific DNA binding transcription factor activity	70	0.6696644	1	1	0.9667571	1.034386	1	0.1292982	0.125	67	0.5875676	1	1	1.163185	0.8597084	1	1034	0.06666667	0.000967118	chr11:60549025-62549025	MYRF
GO Molecular Function	GO:0001071	nucleic acid binding transcription factor activity	71	0.6714894	1	1	0.9622713	1.039208	1	0.129901	0.125	68	0.5879313	1	1	1.162061	0.8605399	1	1035	0.06666667	0.0009661836	chr11:60549025-62549025	MYRF
GO Molecular Function	GO:0005524	ATP binding	72	0.6940908	1	1	0.9083034	1.100954	1	0.1376192	0.125	72	0.720683	1	1	0.8181859	1.222216	1	1470	0.06666667	0.0006802721	chr3:185449122-187449122	EIF4A2
GO Molecular Function	GO:0004872	receptor activity	73	0.6951089	1	1	0.9059381	1.103828	1	0.1379785	0.125	73	0.7261964	1	1	0.8061215	1.240508	1	1492	0.06666667	0.0006702413	chr19:43153100-45153100	PLAUR
GO Molecular Function	GO:0032559	adenyl ribonucleotide binding	74	0.7081623	1	1	0.876083	1.141444	1	0.1426806	0.125	74	0.7286687	1	1	0.8007545	1.248822	1	1502	0.06666667	0.000665779	chr3:185449122-187449122	EIF4A2
GO Molecular Function	GO:0030554	adenyl nucleotide binding	75	0.7094437	1	1	0.8731977	1.145216	1	0.143152	0.125	75	0.7323381	1	1	0.7928367	1.261294	1	1517	0.06666667	0.0006591958	chr3:185449122-187449122	EIF4A2
GO Molecular Function	GO:0003676	nucleic acid binding	76	0.7121617	1	1	0.879684	2.273544	2	0.284193	0.25	84	0.8041335	1	1	0.708115	2.8244	2	3397	0.1333333	0.0005887548	chr11:60549025-62549025,chr3:185449122-187449122	EIF4A2,MYRF
GO Molecular Function	GO:0004871	signal transducer activity	77	0.7308165	1	1	0.8261928	1.210371	1	0.1512964	0.125	76	0.7486288	1	1	0.7583438	1.318663	1	1586	0.06666667	0.000630517	chr19:43153100-45153100	PLAUR
GO Molecular Function	GO:0097159	organic cyclic compound binding	78	0.7484761	1	1	0.867292	3.459043	3	0.4323803	0.375	87	0.8695303	1	1	0.6715429	4.467324	3	5373	0.2	0.0005583473	chr11:60549025-62549025,chr14:93844947-95844947,chr3:185449122-187449122	EIF4A2,MYRF,SERPINA6
GO Molecular Function	GO:0035639	purine ribonucleoside triphosphate binding	79	0.7619274	1	1	0.7611445	1.313811	1	0.1642264	0.125	77	0.7947928	1	1	0.6655968	1.502411	1	1807	0.06666667	0.0005534034	chr3:185449122-187449122	EIF4A2
GO Molecular Function	GO:0032550	purine ribonucleoside binding	80	0.7638926	1	1	0.7571542	1.320735	1	0.1650919	0.125	78	0.7964934	1	1	0.6622981	1.509894	1	1816	0.06666667	0.0005506608	chr3:185449122-187449122	EIF4A2
GO Molecular Function	GO:0001883	purine nucleoside binding	81	0.7641171	1	1	0.7566993	1.321529	1	0.1651911	0.125	79	0.7970574	1	1	0.6612058	1.512388	1	1819	0.06666667	0.0005497526	chr3:185449122-187449122	EIF4A2
GO Molecular Function	GO:0032549	ribonucleoside binding	82	0.7643332	1	1	0.7562615	1.322294	1	0.1652867	0.125	80	0.797245	1	1	0.6608425	1.51322	1	1820	0.06666667	0.0005494505	chr3:185449122-187449122	EIF4A2
GO Molecular Function	GO:0001882	nucleoside binding	83	0.7655248	1	1	0.75385	1.326524	1	0.1658155	0.125	81	0.7991127	1	1	0.6572313	1.521534	1	1830	0.06666667	0.0005464481	chr3:185449122-187449122	EIF4A2
GO Molecular Function	GO:0032555	purine ribonucleotide binding	84	0.7734607	1	1	0.7379069	1.355184	1	0.1693981	0.125	82	0.8018841	1	1	0.651888	1.534006	1	1845	0.06666667	0.0005420054	chr3:185449122-187449122	EIF4A2
GO Molecular Function	GO:0017076	purine nucleotide binding	85	0.7750303	1	1	0.7347771	1.360957	1	0.1701196	0.125	86	0.8049819	1	1	0.6459363	1.54814	1	1862	0.06666667	0.0005370569	chr3:185449122-187449122	EIF4A2
GO Molecular Function	GO:0032553	ribonucleotide binding	86	0.7766448	1	1	0.7315656	1.366931	1	0.1708664	0.125	85	0.8044385	1	1	0.6469787	1.545646	1	1859	0.06666667	0.0005379236	chr3:185449122-187449122	EIF4A2
GO Molecular Function	GO:0016740	transferase activity	87	0.7904335	1	1	0.7044457	1.419556	1	0.1774445	0.125	83	0.8024341	1	1	0.6508297	1.5365	1	1848	0.06666667	0.0005411255	chr19:43153100-45153100	PLAUR
GO Molecular Function	GO:0000166	nucleotide binding	88	0.8452964	1	1	0.6007634	1.664549	1	0.2080686	0.125	88	0.8726518	1	1	0.5195392	1.924782	1	2315	0.06666667	0.0004319654	chr3:185449122-187449122	EIF4A2
GO Molecular Function	GO:1901265	nucleoside phosphate binding	89	0.8454473	1	1	0.6004846	1.665322	1	0.2081652	0.125	89	0.8727733	1	1	0.5193149	1.925614	1	2316	0.06666667	0.0004317789	chr3:185449122-187449122	EIF4A2
GO Molecular Function	GO:0003677	DNA binding	90	0.8588421	1	1	0.5758044	1.736701	1	0.2170876	0.125	90	0.8804409	1	1	0.5051379	1.979657	1	2381	0.06666667	0.0004199916	chr11:60549025-62549025	MYRF
GO Molecular Function	GO:0036094	small molecule binding	91	0.874702	1	1	0.5466511	1.82932	1	0.2286651	0.125	91	0.9000667	1	1	0.4685366	2.134305	1	2567	0.06666667	0.0003895598	chr3:185449122-187449122	EIF4A2
GO Molecular Function	GO:1901363	heterocyclic compound binding	92	0.9194321	1	1	0.5849424	3.41914	2	0.4273925	0.25	92	0.9608056	1	1	0.4538616	4.406629	2	5300	0.1333333	0.0003773585	chr11:60549025-62549025,chr3:185449122-187449122	EIF4A2,MYRF
GO Biological Process	GO:0030195	negative regulation of blood coagulation	1	5.90888e-07	0.006168871	0.006168871	170.5025	0.01759505	3	0.002199381	0.375	1	3.265859e-06	0.03409557	0.03409557	100.2278	0.02993182	3	36	0.2	0.08333333	chr17:63224775-65224775,chr19:43153100-45153100,chr3:185449122-187449122	APOH,KNG1,PLAUR
GO Biological Process	GO:0050819	negative regulation of coagulation	2	1.343898e-06	0.0140303	0.007015148	129.5385	0.02315913	3	0.002894891	0.375	2	4.510128e-06	0.04708574	0.02354287	90.205	0.03325758	3	40	0.2	0.075	chr17:63224775-65224775,chr19:43153100-45153100,chr3:185449122-187449122	APOH,KNG1,PLAUR
GO Biological Process	GO:0072376	protein activation cascade	3	4.381374e-06	0.04574154	0.01524718	87.20741	0.03440075	3	0.004300094	0.375	3	1.879266e-05	0.1961954	0.06539846	56.37813	0.05321213	3	64	0.2	0.046875	chr17:63224775-65224775,chr1:195710916-197710916,chr3:185449122-187449122	APOH,CFH,KNG1
GO Biological Process	GO:0030193	regulation of blood coagulation	4	1.458345e-05	0.1522512	0.0380628	58.25138	0.05150092	3	0.006437615	0.375	4	1.969215e-05	0.205586	0.05139651	55.51077	0.05404357	3	65	0.2	0.04615385	chr17:63224775-65224775,chr19:43153100-45153100,chr3:185449122-187449122	APOH,KNG1,PLAUR
GO Biological Process	GO:0050818	regulation of coagulation	5	2.072826e-05	0.216403	0.04328061	51.75653	0.0579637	3	0.007245462	0.375	5	2.568995e-05	0.2682031	0.05364062	50.81972	0.0590322	3	71	0.2	0.04225352	chr17:63224775-65224775,chr19:43153100-45153100,chr3:185449122-187449122	APOH,KNG1,PLAUR
GO Biological Process	GO:0007597	blood coagulation, intrinsic pathway	6	3.730931e-05	0.3895092	0.0649182	216.0754	0.009256028	2	0.001157003	0.25	7	9.796587e-05	1	0.1461091	133.637	0.01496591	2	18	0.1333333	0.1111111	chr17:63224775-65224775,chr3:185449122-187449122	APOH,KNG1
GO Biological Process	GO:0061041	regulation of wound healing	7	6.249374e-05	0.6524346	0.09320495	35.68013	0.08408042	3	0.01051005	0.375	6	5.230599e-05	0.5460745	0.09101242	40.09111	0.07482955	3	90	0.2	0.03333333	chr17:63224775-65224775,chr19:43153100-45153100,chr3:185449122-187449122	APOH,KNG1,PLAUR
GO Biological Process	GO:0072378	blood coagulation, fibrin clot formation	8	7.433494e-05	0.7760568	0.0970071	152.9334	0.01307759	2	0.001634698	0.25	8	0.0001342693	1	0.1752214	114.546	0.01746023	2	21	0.1333333	0.0952381	chr17:63224775-65224775,chr3:185449122-187449122	APOH,KNG1
GO Biological Process	GO:0007596	blood coagulation	9	0.0003199313	1	0.3711203	10.39894	0.3846547	4	0.04808184	0.5	13	0.0006286015	1	0.5048154	9.602661	0.4165512	4	501	0.2666667	0.007984032	chr14:93844947-95844947,chr17:63224775-65224775,chr19:43153100-45153100,chr3:185449122-187449122	APOH,KNG1,PLAUR,SERPINA1
